1_TssA	0.92870461672016	0.05237301252134	0.00615863382833	0.00293571888782	0.00633950671803
2_TssAFlnk	0.95051635036164	0.94531850052046	0.00892988675394	0.00298811744496	0.00651052683380
3_TxFlnk	0.91751833428405	0.71218456022718	0.75730494553878	0.01052380017347	0.00703469969246
4_Tx	0.00068211615050	0.00488034085370	0.66722769825164	0.00379245896390	0.00084791665074
5_TxWk	0.00054349472882	0.01099611490659	0.04180012891245	0.00197137881628	0.00048728304782
6_EnhG	0.02355239024245	0.72033077314052	0.62147291149603	0.00462821155433	0.00188231341837
7_Enh	0.01732103516270	0.71253044650472	0.00690411535808	0.00358855236821	0.00316272113265
8_ZNF/Rpts	0.14036290846222	0.02675851636897	0.50296814956690	0.76628723209222	0.02610200403573
9_Het	0.00516249140094	0.00089105405375	0.00250062981329	0.38570924542260	0.00610472903782
10_TssBiv	0.91150460322556	0.08088910986307	0.00464249247310	0.01688913649869	0.69287141521019
11_BivFlnk	0.99105781455912	0.91335831155933	0.01454027371779	0.04118901014884	0.86382792517998
12_EnhBiv	0.02620365930841	0.69935030852492	0.00891091365131	0.02666404506409	0.71933290315634
13_ReprPC	0.00121777998362	0.00142491803297	0.00305871589630	0.03002835667487	0.68211395986654
14_ReprPCWk	0.00047615463152	0.00311482188330	0.00023485725077	0.00419127935335	0.06619600495018
15_Quies	0.00023775057560	0.00156617246701	0.00028532681825	0.00442771352486	0.00156474108321
